Center,Width (Cm),Height (Cm),Contour Area (Cm^2),Contour Perimeter (Cm),Solidity,Fit Ellipse,Rectangle Fill,Bounding Rectangle Perimeter,Equivalent Diameter (Cm),Circulation Factor,Compactness,Elongation,Aspect Ratio,Ratio Surface of Volume,Mean RGB,NDIrg,NDIrb,NDIgb,Mean HSV,GLCM contrast,GLCM Dissimilarity,Homogeneity,ASM,Correlation
"(60.0, 173.5)",0.34174994785689194,0.5646303486331259,0.15090365568797495,1.5777520091785646,0.9736467236467237,"((58.70112609863281, 173.31915283203125), (21.795913696289062, 41.97044372558594), 107.52313995361328)",0.5697940503432495,0.8703587309258883,0.4383337790622906,0.5022140624678759,0.7617845161527738,0.2459016393442623,1.6521739130434783,2.813997991066426e-10,"{'blue': 62.94808743169399, 'green': 58.44535519125683, 'red': 55.23087431693989}",0.028277511361840226,0.06530107384627792,0.037092054887293086,"{'hue': 107.59016393442623, 'saturation': 31.16256830601093, 'value': 62.94808743169399}",0.09840873820290623,0.0019739170682566923,0.9998461395764565,0.9990646377051017,0.9679126198270224
"(317.70001220703125, 168.39999389648438)",0.7375960166286066,0.3322504824516968,0.19207926912734194,1.8458270597279418,0.9715242881072027,"((317.82080078125, 168.42059326171875), (22.270153045654297, 50.34642791748047), 155.51864624023438)",0.4765766180661462,0.862659765356391,0.4945330334535395,0.5875450012969622,0.7084485923205016,0.37888195598655156,2.219999836225489,1.2094591794845904e-10,"{'blue': 67.46428571428571, 'green': 63.027056277056275, 'red': 60.89393939393939}",0.017213522775905186,0.05118757531656253,0.03400401410634155,"{'hue': 110.79112554112554, 'saturation': 24.857142857142858, 'value': 67.46428571428571}",0.22507604840366408,0.003894618817431854,0.9997926712607729,0.9987999483707602,0.9502425456404909
"(116.5, 164.0)",0.5943477354032903,0.28231517431656294,0.13600095377292257,1.5618373463081552,0.9677926158680282,"((116.63833618164062, 163.16574096679688), (18.599172592163086, 44.54497146606445), 170.68824768066406)",0.46578947368421053,0.8907855739027767,0.4161271349784629,0.4971482679409426,0.70061625854525,0.3559322033898305,2.1052631578947367,4.0492641327474895e-10,"{'blue': 65.69774436090226, 'green': 61.060150375939855, 'red': 57.84812030075188}",0.0270126716519167,0.0635361132911567,0.036586233866787866,"{'hue': 107.8015037593985, 'saturation': 30.430075187969926, 'value': 65.69774436090226}",0.18926708892403563,0.0034763216581398387,0.9997996567645776,0.9991264764265175,0.938083317946082
"(184.5, 166.0)",0.6834998957137839,0.31203256108672744,0.17673500567406575,1.738648292262502,0.9786063569682152,"((184.4418182373047, 165.94012451171875), (21.957998275756836, 47.79609680175781), 176.51239013671875)",0.4668737060041408,0.8732253179621341,0.47436905270391944,0.553428940023719,0.734698182644122,0.373134328358209,2.1904761904761907,1.6186163475396135e-10,"{'blue': 65.33372365339578, 'green': 60.649882903981265, 'red': 57.522248243559716}",0.026466770357809144,0.0635823825481568,0.0371781763809367,"{'hue': 108.11007025761124, 'saturation': 30.347775175644028, 'value': 65.33372365339578}",0.21015595801187562,0.0037894257448288335,0.9998001493142261,0.9988852869593173,0.9456023038959672
"(252.5, 162.5)",0.6389238155585372,0.31203256108672744,0.15829981145322317,1.6407921105265422,0.9728629579375848,"((252.47103881835938, 162.31072998046875), (20.877239227294922, 44.54689025878906), 175.3378143310547)",0.49058693244739754,0.8627062980085611,0.44894719050948967,0.5222803499529655,0.7388957070607796,0.34375,2.0476190476190474,2.3800799968980445e-10,"{'blue': 66.38461538461539, 'green': 61.88135593220339, 'red': 58.902216427640155}",0.024665105062641683,0.05972214990810462,0.03510876191611262,"{'hue': 108.22816166883963, 'saturation': 28.66753585397653, 'value': 66.38461538461539}",0.20699026530930467,0.0036495808365448164,0.9998069269913049,0.9989965996865431,0.9426169615578005
"(453.5, 160.0)",0.5943477354032903,0.2525977875463984,0.12672816147022328,1.5147119131444697,0.9753610875106202,"((452.8231506347656, 159.6283721923828), (17.830459594726562, 43.197357177734375), 1.5415886640548706)",0.43970588235294117,0.8942203908635858,0.4016905607746731,0.48214777667424796,0.6941013931151937,0.40350877192982454,2.3529411764705883,5.184620537005797e-10,"{'blue': 68.25442834138487, 'green': 64.39935587761674, 'red': 63.07085346215781}",0.010422061917820951,0.03947126405587579,0.029061157083144863,"{'hue': 112.67471819645732, 'saturation': 19.272141706924316, 'value': 68.25442834138487}",0.20884166338711785,0.0034750840925798047,0.9998454023432198,0.9991809091740964,0.9343074777231273
"(384.5, 159.5)",0.6686412023287016,0.2525977875463984,0.14074774030882814,1.654594832655003,0.9755164498852333,"((384.0802917480469, 159.48049926757812), (17.733753204345703, 47.65509033203125), 4.906237602233887)",0.39215686274509803,0.8980269239794824,0.4233268108604926,0.5266738928627023,0.6460527325032827,0.45161290322580644,2.6470588235294117,3.591103625191054e-10,"{'blue': 68.27431059506532, 'green': 64.49492017416546, 'red': 62.00290275761974}",0.019700081446615492,0.048138946721663425,0.028465860622649213,"{'hue': 108.6923076923077, 'saturation': 23.426705370101597, 'value': 68.27431059506532}",0.2346708941906198,0.003906994473032207,0.9998261087299266,0.9990906105268127,0.9330064661863592
"(520.5, 155.5)",0.6686412023287016,0.31203256108672744,0.16437128260380007,1.7089309072636318,0.967511371020143,"((520.9990234375, 155.01963806152344), (20.66034507751465, 47.50496292114258), 174.9635772705078)",0.4560846560846561,0.8713044903495095,0.4574757010268384,0.5439696025870489,0.7072725439505659,0.36363636363636365,2.142857142857143,2.086325863544275e-10,"{'blue': 69.34504391468005, 'green': 65.89585947302383, 'red': 64.89460476787954}",0.007655410585090788,0.03315294093185013,0.02550400324684177,"{'hue': 113.27352572145546, 'saturation': 16.28858218318695, 'value': 69.34504391468005}",0.25440140191426625,0.004138419232758852,0.999792857709693,0.9989570191952248,0.940621259501103
"(588.5, 155.5)",0.6983585890988662,0.31203256108672744,0.17474797875205877,1.7857737201123047,0.970570202329859,"((589.667236328125, 155.48841857910156), (21.57617950439453, 49.55083084106445), 171.55169677734375)",0.4447821681864235,0.8837041574365953,0.4716948557167665,0.5684294295989523,0.6886034117984532,0.38235294117647056,2.238095238095238,1.6839546133010787e-10,"{'blue': 71.02479338842974, 'green': 68.01652892561984, 'red': 66.62927981109799}",0.010302950582027686,0.031931591067177204,0.02163575842476259,"{'hue': 110.80873671782763, 'saturation': 15.69775678866588, 'value': 71.0271546635183}",0.2782740415673518,0.004513401597449621,0.9997513170008226,0.998892696216838,0.9424365104347106
"(656.5, 153.0)",0.6834998957137839,0.34174994785689194,0.19185848835823005,1.8067870836857087,0.973124300111982,"((656.2918701171875, 152.95016479492188), (23.170610427856445, 49.15152359008789), 179.09701538085938)",0.501890359168242,0.8811447741328806,0.4942487373487254,0.575118190966341,0.7385449415882507,0.3333333333333333,2.0,1.2143374299812063e-10,"{'blue': 82.93837837837837, 'green': 80.37513513513514, 'red': 79.36216216216216}",0.006341493123259226,0.022034530520367954,0.01569523052029381,"{'hue': 106.63891891891892, 'saturation': 14.147027027027027, 'value': 83.24864864864865}",0.6070011558862326,0.005742304198564907,0.9997357579674249,0.9987974631217158,0.9354297669565663
