Center,Width (Cm),Height (Cm),Contour Area (Cm^2),Contour Perimeter (Cm),Solidity,Fit Ellipse,Rectangle Fill,Bounding Rectangle Perimeter,Equivalent Diameter,Circulation Factor,Compactness,Elongation,Aspect Ratio,Ratio Surface of Volume,Mean RGB,NDIrg,NDIrb,NDIgb,Mean HSV,GLCM contrast,GLCM Dissimilarity,Homogeneity,ASM,Correlation
"(56.0, 125.5)",0.3422603889436693,0.5654736860808449,0.15412278448497305,1.5888255804984839,0.9789029535864979,"((54.29750061035156, 125.55029296875), (21.56417465209961, 43.71913146972656), 105.10643768310547)",0.5697940503432495,0.013023160495889212,0.442984451139047,33.98580390465489,0.7672276815351282,0.2459016393442623,1.6521739130434783,0.018425223865964943,"{'blue': 62.92885906040268, 'green': 58.158389261744965, 'red': 55.04295302013423}",0.027521195208984058,0.06684568029013863,0.0393969626101865,"{'hue': 108.28322147651006, 'saturation': 31.830872483221476, 'value': 62.92885906040268}",0.10011286597907519,0.0019900054205371546,0.9998448909586162,0.9990485579797637,0.9677554319006092
"(314.6982116699219, 119.7655029296875)",0.7692240525430107,0.2838652107349832,0.17493821802173665,1.8987710428390978,0.9432835820895522,"((314.8917236328125, 120.1634750366211), (19.565155029296875, 55.16927719116211), 96.94171905517578)",0.8072455296484656,0.013415480205398494,0.4719515410196015,40.61569823260296,0.6097465652365367,0.460890504473696,2.7098215049013485,0.010862763108881632,"{'blue': 68.00353356890459, 'green': 63.68904593639576, 'red': 61.65606595995288}",0.016219060672282903,0.048954860474048456,0.032761812741765,"{'hue': 110.89634864546524, 'saturation': 23.831566548881035, 'value': 68.00353356890459}",0.10988097094443577,0.0020605466574591795,0.9998160426632012,0.9989223858180074,0.9740741884247255
"(451.46240234375, 123.02378845214844)",0.6357031437985092,0.22448265757535937,0.10728805902725495,1.5103723804125488,0.9344262295081968,"((451.9001159667969, 123.65495300292969), (14.589622497558594, 46.3602409362793), 147.27012634277344)",0.3987985549875129,0.013064433226648825,0.36959897109080453,32.30764923082548,0.5910077582323616,0.4780600720987932,2.8318585972954375,0.011868637236589541,"{'blue': 68.64083175803403, 'green': 65.04158790170132, 'red': 62.92627599243856}",0.016530024361113237,0.04343453207233313,0.02692383832370444,"{'hue': 109.66351606805293, 'saturation': 21.19470699432892, 'value': 68.64083175803403}",0.19255777574817032,0.0032139577594123064,0.9998424178900589,0.9992996658534632,0.9297290027319683
"(180.5, 121.5)",0.6398781184599034,0.28273684304042246,0.1475902814069462,1.6273043735137291,0.9787077826725403,"((180.22532653808594, 121.17294311523438), (19.544361114501953, 45.47582244873047), 169.9359893798828)",0.44920440636474906,0.013123422367046203,0.43349484738104405,34.80888526107013,0.7003740421791441,0.3870967741935484,2.263157894736842,0.014041703183539995,"{'blue': 65.28312412831241, 'green': 60.18967921896792, 'red': 57.36680613668061}",0.024012908104098746,0.06454400722506477,0.04059401535157852,"{'hue': 109.56206415620642, 'saturation': 30.803347280334727, 'value': 65.28312412831241}",0.19603162227519003,0.0034911724448602652,0.9998372134223283,0.9990584493274678,0.9390315470343236
"(521.0, 116.5)",0.5505927996050332,0.29761772951623416,0.13496815681550442,1.4959295559786152,0.9674603174603175,"((520.7246704101562, 116.06089782714844), (20.919109344482422, 39.36695861816406), 177.6492156982422)",0.5432432432432432,0.013122189087531712,0.41454408033105106,31.998709719109527,0.7579121954200437,0.2982456140350877,1.85,0.021458818280496193,"{'blue': 70.03963414634147, 'green': 67.28506097560975, 'red': 63.79878048780488}",0.026595806517604275,0.046629763741099894,0.02005883330947602,"{'hue': 103.46341463414635, 'saturation': 22.608231707317074, 'value': 70.03963414634147}",0.20822783086934007,0.0034763216581398418,0.9998093208089472,0.9991413212081486,0.9420383297217133
"(111.0, 118.0)",0.6249972319840917,0.29761772951623416,0.15102261353268912,1.6185873534501074,0.9660056657223796,"((111.462646484375, 117.96919250488281), (20.06443977355957, 45.29365158081055), 178.33741760253906)",0.4785714285714286,0.013053123818146026,0.43850651500185894,34.62242367702247,0.7244018656859008,0.3548387096774194,2.1,0.016665619623274956,"{'blue': 63.13387978142077, 'green': 57.90573770491803, 'red': 55.12841530054645}",0.024570648145434866,0.06769244980876205,0.04319364337691705,"{'hue': 109.84972677595628, 'saturation': 32.20355191256831, 'value': 63.13387978142077}",0.17971060766944127,0.0033142005697751843,0.9998385753738221,0.9990411342184812,0.9407567526944219
"(245.5, 119.0)",0.6845207778873386,0.31249861599204587,0.1670770702498738,1.7238111090204158,0.9654510556621881,"((245.5528564453125, 119.01366424560547), (21.08324432373047, 46.19670486450195), 0.2880605161190033)",0.453416149068323,0.012864262007615044,0.46122568538692005,36.873214428894585,0.7065572626585097,0.373134328358209,2.1904761904761907,0.014545733315379922,"{'blue': 66.66790582403965, 'green': 62.01363073110285, 'red': 58.99008674101611}",0.02498719916009765,0.0611009210014117,0.03616894244440002,"{'hue': 108.3457249070632, 'saturation': 29.27757125154895, 'value': 66.66790582403965}",0.22206876409277784,0.0038673923751110714,0.9998097395647713,0.9989434176078591,0.941828318255731
"(583.22900390625, 112.54727172851562)",0.20303122541633295,0.55247374356475,0.09145504309237626,1.3609440239088035,0.944,"((582.1397705078125, 112.51061248779297), (14.99726676940918, 39.857723236083984), 0.8017400503158569)",0.8212520353717431,0.013402991609065358,0.3412391792140402,29.11129911897883,0.6204931579020488,0.46252841807208117,2.721126971636285,0.015155046341505026,"{'blue': 69.30921052631578, 'green': 66.72368421052632, 'red': 65.50438596491227}",0.009221175527058468,0.028222854798097392,0.019006625705426227,"{'hue': 110.29166666666666, 'saturation': 13.87061403508772, 'value': 69.30921052631578}",0.2108353815043352,0.0033055376108549373,0.9998797919557825,0.9993887417871895,0.915909674838447
"(383.7769775390625, 115.21540069580078)",0.7069209556819387,0.3285429232149346,0.17338813254559468,1.7746176348600409,0.9726708074534162,"((384.1261291503906, 114.56989288330078), (21.224864959716797, 48.55153274536133), 163.17507934570312)",0.4509784347442445,0.012751716453141397,0.4698559640409314,37.95999238958209,0.6918622698021933,0.36541886219160774,2.151685231154613,0.01320264722871457,"{'blue': 68.6463560334528, 'green': 64.72043010752688, 'red': 62.78375149342891}",0.015189138020901896,0.04460625229545808,0.02943705878037873,"{'hue': 110.73715651135005, 'saturation': 21.73237753882915, 'value': 68.6463560334528}",0.241676752825981,0.004048076946876262,0.9998002454793834,0.9989063105219659,0.9439253200086617
"(648.9865112304688, 108.41891479492188)",0.6336182960903902,0.27155071859805185,0.12478188082942862,1.5801085568869824,0.9486531986531986,"((649.4534301757812, 110.01095581054688), (17.299680709838867, 42.606510162353516), 165.1497039794922)",0.4131273752661911,0.012988411928012766,0.39859406059104674,33.799342244716236,0.6280403421920134,0.3999999686433826,2.3333331591299125,0.013525013443850214,"{'blue': 239.58986928104576, 'green': 238.18300653594773, 'red': 237.0359477124183}",0.0024137480482071686,0.005358336617604259,0.002944626654239915,"{'hue': 96.56372549019608, 'saturation': 3.4934640522875817, 'value': 239.84477124183007}",2.7563109655734004,0.013151609206497722,0.9998385392743646,0.9991908164102928,0.937071202382907
"(256.1764831542969, 58.79412078857422)",0.6243820580081916,0.2670767286263269,0.1300964596047725,1.5503467874832386,0.9591836734693877,"((255.82701110839844, 58.982452392578125), (17.269662857055664, 44.739070892333984), 101.21867370605469)",0.7356663795149666,0.012939765073029642,0.40699380461972273,33.16272254823964,0.6801702535554589,0.40080970061530524,2.3378377487983184,0.015080561055195882,"{'blue': 68.85826771653544, 'green': 63.86456692913386, 'red': 60.899212598425194}",0.023767750059839058,0.06133792897840971,0.03762503111820042,"{'hue': 109.01574803149606, 'saturation': 29.511811023622048, 'value': 68.85826771653544}",0.1054814253785094,0.001897188003534487,0.9998640923988881,0.999188332507114,0.9670677937897509
"(314.2611083984375, 55.915924072265625)",0.6354912360332573,0.28705989201353904,0.14360434732543825,1.6098703316125456,0.9679104477611941,"((313.56707763671875, 55.84615707397461), (19.22698402404785, 44.692718505859375), 169.23809814453125)",0.4369965668274765,0.012983723566748736,0.4276011386919254,34.43596205502931,0.6962988178695652,0.37768242152324816,2.213793196868076,0.014860855200003435,"{'blue': 67.90687679083095, 'green': 63.759312320916905, 'red': 60.87965616045845}",0.023103979383288606,0.05456487152716424,0.03150060387366311,"{'hue': 108.04441260744986, 'saturation': 26.38968481375358, 'value': 67.90687679083095}",0.21481662991096956,0.0036112163041837155,0.9998356026392258,0.9990831869133265,0.9381397459684897
"(44.0, 57.0)",0.714282550838962,0.29761772951623416,0.1782598297563266,1.7971579929337878,0.9751665657177468,"((44.153846740722656, 56.947120666503906), (21.138261795043945, 50.967472076416016), 176.1143798828125)",0.4270833333333333,0.013214397006866085,0.4764110247291858,38.44214234917345,0.6935708531332676,0.4117647058823529,2.4,0.013469899867975723,"{'blue': 62.7061556329849, 'green': 57.78513356562137, 'red': 54.637630662020904}",0.027997024645537622,0.06875971211465355,0.04084130974122171,"{'hue': 108.55284552845528, 'saturation': 32.66550522648084, 'value': 62.7061556329849}",0.2011613315215373,0.0037671495647481927,0.9998052873843378,0.9988741675105723,0.9432147463280661
"(109.5, 52.5)",0.6398781184599034,0.252975070088799,0.12688556826133557,1.5939318966710472,0.9557964970809008,"((108.97325134277344, 54.82522201538086), (16.98847198486328, 44.758689880371094), 179.1697540283203)",0.40355677154582764,0.01328276580559206,0.40193994970209834,34.095030658205424,0.6275994726688329,0.43333333333333335,2.5294117647058822,0.013371772152348211,"{'blue': 64.14767255216694, 'green': 59.19101123595505, 'red': 56.138041733547354}",0.026471816260971497,0.06658837967188269,0.04018740236200325,"{'hue': 108.71428571428571, 'saturation': 31.71589085072231, 'value': 64.14767255216694}",0.1904823783039907,0.0034181560768181698,0.9998496514002343,0.9991747258694009,0.9293183993901566
